Column1,Column2,Column3,Column4,Column5,Column6
32,99,25582,4236,18530,22766
99,114,18624,6154,14389,20543
114,101,6943,8781,788,9569
101,97,27407,9874,18626,28499
97,116,10577,6038,704,6742
116,117,27286,5244,21247,26491
61,61,20335,9980,7931,17911
105,118,26593,5949,20645,26594
118,97,16319,12084,10370,22454
97,32,17613,4838,5529,10366
32,121,26284,6351,21446,27797
121,101,35032,10820,16404,27224
101,32,32646,5836,21826,27662
32,105,27294,5319,21458,26778
105,110,22035,5855,16716,22571
110,111,21154,6848,15299,22147
111,118,29010,5136,22161,27297
118,97,6948,11389,1812,13201
97,100,23262,9566,11872,21439
100,111,14709,7448,5143,12591
111,114,33224,5541,25775,31316
114,97,15108,10778,9567,20345
46,32,29633,5811,22387,28197
32,81,43476,9954,29424,39378
81,81,28898,12574,18945,31518
117,105,23764,5845,18223,24068
105,115,17724,12994,11878,24873
115,105,18124,6462,5130,11592
105,101,8556,9281,2094,11375
101,114,19761,7943,10480,18423
114,97,28487,12589,20544,33133
97,32,21143,5446,8554,14000
32,115,7355,10984,1909,12893
115,101,22050,10681,11066,21746
101,114,21352,8767,10671,19438
114,32,13402,7760,4635,12396
32,117,23056,5944,15295,21239
117,110,21952,5753,16008,21761
110,97,15418,11783,9664,21448
97,32,17722,6744,5939,12683
32,112,28305,6640,21561,28200
112,101,10969,9970,4329,14299
101,114,19940,8763,9970,18733
114,111,55623,5611,46859,52471
111,110,28285,4720,22674,27394
110,97,20121,10275,15400,25675
97,32,13093,6351,2818,9169
32,113,13626,11975,7275,19250
113,117,22426,6953,10451,17404
117,101,13699,8260,6746,15006
101,32,19841,8255,11581,19837
32,105,33141,5932,24885,30817
105,110,23672,6835,17740,24575
110,115,17309,10270,10474,20744
115,105,19328,5242,9058,14300
105,112,26187,6552,20945,27497
112,101,21151,6850,14599,21449
101,114,19549,8349,12698,21047
114,32,20443,6332,12095,18427
32,101,53392,8336,43426,51762
101,32,36241,5430,27906,33336
97,32,10880,1149,22861,24011
97,32,10880,4835,22861,3686
32,32,22843,10780,8148,18929
32,32,18734,9575,7954,17528
32,32,15613,11581,6038,17619
32,32,21754,10976,10173,21149
32,32,39576,12386,28600,40987
32,105,50863,6641,38476,45117
105,114,29002,7246,22361,29607
114,101,19940,7852,12694,20546
101,32,13490,7351,5638,12989
97,32,13710,1158,29425,30583
97,32,13710,5821,29425,4664
32,108,50236,5738,44414,50152
108,97,10374,12088,4636,16724
115,32,10275,1198,22054,23252
115,32,10275,6039,22054,4841
32,112,23459,10477,17420,27897
112,101,11181,6848,704,7552
101,114,19033,7957,12185,20142
114,111,27289,5133,19332,24465
111,115,23963,11687,8456,20143
115,111,38681,7548,26993,34541
111,110,29101,6041,21553,27595
110,97,18929,12190,12888,25078
