@RELATION keys
@ATTRIBUTE letter1  NUMERIC
@ATTRIBUTE letter2  NUMERIC
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1111111'}

@DATA
100,32,37599,13599,23213,36812,1111111
32,105,42406,7979,28808,36787,1111111
105,110,25543,9657,17564,27222,1111111
110,32,20072,11931,10415,22346,1111111
32,97,26382,19994,14451,34444,1111111
97,32,23992,7969,3998,11968,1111111
32,109,23999,8781,16030,24811,1111111
109,97,16001,19993,7220,27212,1111111
97,110,22389,3983,2397,6380,1111111
110,110,12771,11191,8788,19979,1111111
104,101,9589,9606,2399,12005,1111111
101,108,22410,7187,12804,19991,1111111
108,108,11988,9609,4800,14409,1111111
108,111,18419,7984,8810,16795,1111111
111,32,17586,15205,9601,24807,1111111
32,104,28815,7187,13610,20797,1111111
104,101,15993,11166,8806,19972,1111111
104,101,9589,9606,2399,12005,1111111
101,108,22410,7187,12804,19991,1111111
108,108,11988,9609,4800,14409,1111111
108,111,18419,7984,8810,16795,1111111
111,32,17586,15205,9601,24807,1111111
32,104,28815,7187,13610,20797,1111111
104,101,15993,11166,8806,19972,1111111
101,108,27219,7985,16053,24038,1111111
108,108,14377,8795,6392,15187,1111111
108,111,20012,8783,11217,20000,1111111
111,32,27183,13603,18400,32004,1111111
32,104,43206,7201,29603,36804,1111111
104,101,13593,11204,6392,17596,1111111
101,108,20798,6394,9594,15988,1111111
108,108,12809,8804,6415,15218,1111111
108,111,19188,8809,10385,19193,1111111
111,32,15995,13585,7187,20771,1111111
104,101,9589,9606,2399,12005,1111111
101,108,22410,7187,12804,19991,1111111
108,108,11988,9609,4800,14409,1111111
108,111,18419,7984,8810,16795,1111111
111,32,17586,15205,9601,24807,1111111
32,104,28815,7187,13610,20797,1111111
104,101,15993,11166,8806,19972,1111111
101,108,27219,7985,16053,24038,1111111
108,108,14377,8795,6392,15187,1111111
108,111,20012,8783,11217,20000,1111111
111,32,27183,13603,18400,32004,1111111
32,104,43206,7201,29603,36804,1111111
104,101,13593,11204,6392,17596,1111111
101,108,20798,6394,9594,15988,1111111
108,108,12809,8804,6415,15218,1111111
108,111,19188,8809,10385,19193,1111111
111,32,15995,13585,7187,20771,1111111
32,104,28823,8029,15239,23267,1111111
