@RELATION keys
@ATTRIBUTE letter1  STRING
@ATTRIBUTE letter2  STRING
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1140196'}

@DATA
e,r,18400,9550,9690,19240,1140196
r,space,17600,11950,8050,20000,1140196
space,s,16000,11930,4050,15980,1140196
s,c,39230,10330,27300,37630,1140196
c,i,19170,7920,8840,16760,1140196
i,e,12760,9590,4840,14430,1140196
e,n,15250,9540,5660,15200,1140196
c,e,14480,3130,34470,37600,1140196
e,space,17580,11140,4060,15200,1140196
space,b,29560,9580,18420,28000,1140196
b,e,24010,15140,14430,29570,1140196
e,c,30440,12730,15300,28030,1140196
c,a,18400,20740,5670,26410,1140196
a,u,104010,7130,83270,90400,1140196
u,s,11990,9530,4860,14390,1140196
s,e,23950,8780,14420,23200,1140196
e,space,13640,10300,4860,15160,1140196
space,o,40820,7930,30520,38450,1140196
o,f,14370,9550,6440,15990,1140196
f,space,16000,8750,6450,15200,1140196
space,t,20740,7210,11990,19200,1140196
t,h,16820,11170,9610,20780,1140196
h,e,14440,11150,3270,14420,1140196
e,space,15210,7940,4060,12000,1140196
space,i,592030,8670,584090,592760,1140196
i,n,26360,7940,17690,25630,1140196
n,t,78410,7940,70470,78410,1140196
t,e,15150,9590,7210,16800,1140196
e,r,20040,9540,10450,19990,1140196
r,e,24000,8770,14460,23230,1140196
e,s,20760,10380,11990,22370,1140196
s,t,20070,7110,9690,16800,1140196
t,space,12780,10310,5670,15980,1140196
space,t,21600,8740,11290,20030,1140196
t,h,18380,11160,9640,20800,1140196
a,t,11950,2380,14400,16780,1140196
t,space,10440,8760,1640,10400,1140196
shift,shift,24000,3150,39250,42400,1140196
shift,space,12020,15130,1680,16810,1140196
space,h,32730,8790,17600,26390,1140196
a,v,13590,2340,21660,24000,1140196
v,e,15200,10310,5650,15960,1140196
e,space,12760,10400,2450,12850,1140196
space,i,19240,8750,8840,17590,1140196
i,n,22340,12010,13590,25600,1140196
n,space,16860,11910,4850,16760,1140196
space,t,32800,7140,20890,28030,1140196
t,h,16760,11980,9620,21600,1140196
