@RELATION keys
@ATTRIBUTE letter1  STRING
@ATTRIBUTE letter2  STRING
@ATTRIBUTE P1R1  NUMERIC
@ATTRIBUTE P1P2  NUMERIC
@ATTRIBUTE R1P2  NUMERIC
@ATTRIBUTE R1R2  NUMERIC

@ATTRIBUTE class {'1140196'}

@DATA
shift,shift,21600,2330,27260,29590,1140196
shift,space,15960,14390,4860,19250,1140196
a,m,7200,9590,10400,19990,1140196
m,space,16840,11160,4850,16010,1140196
f,r,12000,7900,29650,37550,1140196
r,o,28020,8720,8110,16830,1140196
o,m,25590,11120,16870,27990,1140196
m,space,53600,11100,42480,53580,1140196
shift,shift,15120,7110,27290,34400,1140196
e,p,13610,3930,15290,19220,1140196
a,l,4010,11920,10470,22390,1140196
space,i,18460,7900,8880,16780,1140196
i,t,21610,11910,13710,25620,1140196
t,space,14370,8720,2460,11180,1140196
space,i,20010,8730,11290,20020,1140196
i,s,16790,13520,8060,21580,1140196
s,space,16810,10340,3290,13630,1140196
space,a,17590,15140,7250,22390,1140196
a,space,16800,8750,1660,10410,1140196
space,c,285620,11130,276870,288000,1140196
c,o,78390,7930,67260,75190,1140196
o,u,32010,10330,24080,34410,1140196
u,n,40780,8750,30450,39200,1140196
n,t,36000,7150,27250,34400,1140196
t,r,20800,9540,13650,23190,1140196
r,y,17590,7990,8050,16040,1140196
y,space,15210,11950,7220,19170,1140196
space,t,20040,7880,8090,15970,1140196
t,h,18320,11980,10440,22420,1140196
a,t,9610,3140,11260,14400,1140196
t,space,11190,14350,2460,16810,1140196
space,l,92820,7930,78470,86400,1140196
l,i,24790,7930,16860,24790,1140196
i,e,13560,13580,5630,19210,1140196
e,s,25580,14400,12000,26400,1140196
s,space,17640,10330,3240,13570,1140196
space,i,20020,7940,9690,17630,1140196
i,n,21590,12750,13650,26400,1140196
n,space,16800,9550,4050,13600,1140196
space,s,74430,14320,64880,79200,1140196
s,o,17560,7970,3240,11210,1140196
o,u,26410,7130,18440,25570,1140196
u,t,52820,8730,45690,54420,1140196
t,h,16800,11130,8070,19200,1140196
h,space,17590,11130,6460,17590,1140196
shift,shift,17640,10350,30460,40810,1140196
shift,s,17610,12720,7260,19980,1140196
s,i,20000,2340,7280,9620,1140196
i,a,18400,17520,10460,27980,1140196
a,a,117610,6310,100090,106400,1140196
a,space,15190,8780,8880,17660,1140196
space,space,300790,8740,292010,300750,1140196
space,s,16800,14340,8060,22400,1140196
s,m,20000,8760,5660,14420,1140196
m,a,13600,15940,4840,20780,1140196
a,l,17590,7120,1650,8770,1140196
l,l,13550,10380,6430,16810,1140196
shift,shift,22370,3170,292020,295190,1140196
shift,space,12850,13550,3270,16820,1140196
a,m,12020,6320,15280,21600,1140196
m,space,15970,11950,4850,16800,1140196
a,n,12070,6330,291270,297600,1140196
n,space,15190,10340,5660,16000,1140196
space,i,20790,9510,10450,19960,1140196
i,n,23170,10370,13660,24030,1140196
n,t,27230,5520,16860,22380,1140196
t,e,11210,9550,5690,15240,1140196
e,r,19200,9530,9650,19180,1140196
r,n,13600,9500,4070,13570,1140196
n,a,15950,16000,6450,22450,1140196
a,t,17630,6360,1630,7990,1140196
t,i,31210,7120,24850,31970,1140196
i,o,15200,8740,8080,16820,1140196
o,n,23240,8670,14500,23170,1140196
a,l,14430,2340,19300,21640,1140196
l,space,15190,14350,5660,20010,1140196
space,s,59200,15130,44850,59980,1140196
s,t,18400,7950,3270,11220,1140196
t,u,39210,7930,31260,39190,1140196
d,e,12840,7140,24860,32000,1140196
e,n,14350,1550,7210,8760,1140196
n,t,25640,7950,16860,24810,1140196
t,space,19210,11940,11260,23200,1140196
space,i,27300,7020,15360,22380,1140196
i,n,21500,11920,14480,26400,1140196
n,space,14350,13590,2430,16020,1140196
space,t,24850,7150,11260,18410,1140196
t,h,16800,12750,9650,22400,1140196
e,space,11210,2350,13660,16010,1140196
space,u,22350,7960,12020,19980,1140196
u,n,17640,9540,9680,19220,1140196
n,i,19990,7960,10450,18410,1140196
i,v,25600,7950,17640,25590,1140196
v,e,13610,9550,5660,15210,1140196
e,r,19200,8710,9650,18360,1140196
r,s,20800,11940,12090,24030,1140196
s,i,14400,6350,2460,8810,1140196
i,t,18400,9540,12050,21590,1140196
t,y,11200,6360,1660,8020,1140196
y,space,11990,11160,5630,16790,1140196
space,o,23210,11930,12050,23980,1140196
f,space,9700,2300,11310,13610,1140196
shift,shift,18400,3140,28060,31200,1140196
shift,o,20810,10330,4070,14400,1140196
o,n,20740,11970,10410,22380,1140196
n,t,27250,7950,15280,23230,1140196
t,e,15180,11160,7230,18390,1140196
e,m,15230,9530,4070,13600,1140196
m,o,24780,8750,15250,24000,1140196
r,e,12770,4760,16820,21580,1140196
e,l,7990,5580,3230,8810,1140196
l,o,17640,10350,8070,18420,1140196
o,s,15200,15150,4850,20000,1140196
s,space,67200,12720,52050,64770,1140196
space,a,19210,13530,6490,20020,1140196
a,t,18390,9550,4860,14410,1140196
t,space,18410,14340,8860,23200,1140196
space,t,25590,7910,11250,19160,1140196
t,h,18400,12750,10490,23240,1140196
h,e,14410,9510,1660,11170,1140196
e,space,11950,7190,2440,9630,1140196
space,m,12850,11140,5660,16800,1140196
m,o,25610,8730,14470,23200,1140196
o,m,19930,11190,11200,22390,1140196
m,e,15260,10340,4070,14410,1140196
e,n,24000,7910,13660,21570,1140196
n,t,11140,11200,3230,14430,1140196
t,t,24050,4750,12850,17600,1140196
t,space,12800,7930,8050,15980,1140196
shift,shift,33550,2360,112030,114390,1140196
shift,space,16050,21530,5670,27200,1140196
a,m,11930,3160,20810,23970,1140196
m,space,17650,12730,5660,18390,1140196
space,d,17560,14380,4830,19210,1140196
d,o,16060,7120,1680,8800,1140196
o,i,19980,7950,12860,20810,1140196
n,g,13560,1570,28020,29590,1140196
g,space,8830,2350,7260,9610,1140196
space,m,32810,10330,22470,32800,1140196
m,y,27190,8740,16860,25600,1140196
y,space,14390,11160,5650,16810,1140196
shift,shift,24010,7960,32800,40760,1140196
a,c,13610,6350,20870,27220,1140196
c,h,18400,7940,2460,10400,1140196
h,e,36750,13550,28810,42360,1140196
e,l,23200,9730,9650,19380,1140196
l,o,17690,10300,7960,18260,1140196
o,r,14370,11130,4070,15200,1140196
r,r,200780,7150,189650,196800,1140196
r,s,12900,13460,5750,19210,1140196
s,space,28710,10320,15250,25570,1140196
d,e,17580,3940,96070,100010,1140196
e,g,39220,8730,21690,30420,1140196
g,r,22410,7120,13680,20800,1140196
r,e,10820,8350,3700,12050,1140196
e,e,14750,11960,6400,18360,1140196
e,space,48770,12780,36810,49590,1140196
space,a,17620,22360,4840,27200,1140196
backspace,i,37650,7940,27260,35200,1140196
i,n,24000,11900,16060,27960,1140196
n,space,15960,9580,4060,13640,1140196
shift,shift,12740,9600,388790,398390,1140196
shift,o,17670,10340,4880,15220,1140196
o,m,24000,11940,13660,25600,1140196
m,p,23140,11190,11200,22390,1140196
p,u,31200,7970,20010,27980,1140196
u,t,28850,7940,20880,28820,1140196
t,e,11190,9560,3250,12810,1140196
e,r,20000,10320,10440,20760,1140196
r,space,18390,11160,8070,19230,1140196
space,s,19160,11200,8000,19200,1140196
s,c,27270,10330,16070,26400,1140196
c,h,106400,7930,96070,104000,1140196
h,i,54360,7930,46430,54360,1140196
i,e,11170,17600,3240,20840,1140196
e,n,31260,7150,13660,20810,1140196
c,e,14400,6340,17650,23990,1140196
backspace,c,83200,11130,71260,82390,1140196
c,i,19200,9540,8070,17610,1140196
i,e,14390,12730,4850,17580,1140196
e,n,18360,8790,5630,14420,1140196
c,e,11200,6350,28850,35200,1140196
shift,shift,23950,6350,173600,179950,1140196
shift,t,33610,7180,18400,25580,1140196
t,t,128800,6380,121620,128000,1140196
t,s,13640,13590,7260,20850,1140196
s,space,52010,11140,38420,49560,1140196
space,a,19220,11110,8080,19190,1140196
a,c,72790,11120,61680,72800,1140196
c,t,23970,7950,12850,20800,1140196
t,u,22410,8730,14460,23190,1140196
u,a,18410,14320,9680,24000,1140196
a,l,19930,7980,5610,13590,1140196
l,l,14460,10320,6480,16800,1140196
l,y,42400,7940,32080,40020,1140196
y,space,15990,11120,8050,19170,1140196
space,a,22410,11920,11290,23210,1140196
a,l,15150,7230,3230,10460,1140196
l,l,15260,10340,8030,18370,1140196
l,space,15200,11130,4860,15990,1140196
a,b,15220,1530,20070,21600,1140196
b,o,29540,7190,21620,28810,1140196
o,u,22450,8740,15260,24000,1140196
u,t,10400,11910,1660,13570,1140196
t,space,13600,11140,1690,12830,1140196
shift,shift,21660,7060,32110,39170,1140196
shift,t,14280,14420,1640,16060,1140196
t,t,20870,10340,6450,16790,1140196
t,space,13600,11950,3260,15210,1140196
shift,shift,3350,850,91940,92790,1140196
shift,shift,13510,11960,73610,85570,1140196
shift,shift,22420,9600,4050,13650,1140196
space,shift,10400,2350,20840,23190,1140196
shift,shift,27210,5540,24860,30400,1140196
shift,space,16740,11970,6410,18380,1140196
r,e,11140,5610,17630,23240,1140196
a,l,8800,7930,24850,32780,1140196
l,l,14330,13610,3990,17600,1140196
l,y,16850,12760,3240,16000,1140196
y,space,18420,11910,5660,17570,1140196
space,e,92790,14340,80880,95220,1140196
e,n,25570,8790,11230,20020,1140196
n,j,20130,9460,11340,20800,1140196
j,o,25530,7910,16070,23980,1140196
o,y,29530,7980,21620,29600,1140196
y,space,17650,11120,9670,20790,1140196
space,m,32000,8740,20880,29620,1140196
m,y,29530,8010,20790,28800,1140196
y,space,15250,12750,7240,19990,1140196
c,a,12780,2340,16860,19200,1140196
a,r,24800,7940,6460,14400,1140196
r,e,20000,6310,12060,18370,1140196
e,e,12760,9590,6450,16040,1140196
e,r,20050,10330,10460,20790,1140196
r,r,30400,7130,20070,27200,1140196
r,space,13530,10410,6400,16810,1140196
shift,shift,32790,6340,330450,336790,1140196
shift,space,19200,15130,4860,19990,1140196
space,w,58410,20690,43280,63970,1140196
a,s,14410,11140,16900,28040,1140196
s,space,20790,2350,9650,12000,1140196
space,a,24800,18370,12850,31220,1140196
a,l,45610,8740,27240,35980,1140196
l,w,37610,13550,28870,42420,1140196
w,a,28000,16690,14450,31140,1140196
a,y,19130,7170,2440,9610,1140196
s,space,12860,3150,17690,20840,1140196
a,space,15210,2330,22470,24800,1140196
space,m,357640,11100,348910,360010,1140196
m,i,19950,9510,8850,18360,1140196
i,l,24790,10350,15280,25630,1140196
l,d,16810,11950,6460,18410,1140196
d,space,15190,9540,3240,12780,1140196
space,s,22410,11140,12870,24010,1140196
s,t,19190,7950,8050,16000,1140196
t,u,23180,8770,15230,24000,1140196
d,e,19140,3990,32800,36790,1140196
e,n,20860,1550,16870,18420,1140196
n,t,18400,11940,10480,22420,1140196
t,space,16800,10310,4860,15170,1140196
space,u,38400,8710,28090,36800,1140196
u,n,22390,10350,13680,24030,1140196
n,t,19210,11940,8860,20800,1140196
t,i,16800,6340,4860,11200,1140196
i,l,19950,9600,13610,23210,1140196
l,space,38460,9530,28860,38390,1140196
shift,shift,31210,3140,104060,107200,1140196
shift,space,20000,12750,8070,20820,1140196
space,g,94400,10360,81650,92010,1140196
g,r,17600,10340,7240,17580,1140196
a,d,17560,5560,28820,34380,1140196
d,u,18450,9530,4070,13600,1140196
u,a,16790,14340,7260,21600,1140196
a,t,19190,8760,4850,13610,1140196
t,e,14400,11950,5640,17590,1140196
e,d,25630,12690,13680,26370,1140196
d,space,19920,11200,7230,18430,1140196
space,f,18460,15940,7260,23200,1140196
f,o,27990,8750,12050,20800,1140196
o,r,12000,11140,3250,14390,1140196
r,m,16790,11930,5650,17580,1140196
m,space,15160,10380,3230,13610,1140196
shift,shift,16810,4740,69680,74420,1140196
shift,i,24770,9560,14440,24000,1140196
i,g,24840,10330,15280,25610,1140196
g,h,43180,11150,32850,44000,1140196
h,space,18400,15100,7250,22350,1140196
space,s,22400,12710,7300,20010,1140196
c,h,12810,2330,28100,30430,1140196
shift,shift,18430,4750,56850,61600,1140196
shift,c,74340,10410,60020,70430,1140196
c,h,17670,7930,7260,15190,1140196
h,o,29540,7170,21610,28780,1140196
o,o,13650,9530,6480,16010,1140196
o,l,22400,8740,12870,21610,1140196
l,l,25560,9580,16820,26400,1140196
l,space,18450,9540,8870,18410,1140196
shift,shift,35220,5530,43260,48790,1140196
shift,e,18340,14390,8810,23200,1140196
e,c,39250,8730,24860,33590,1140196
c,a,13600,23940,4870,28810,1140196
a,u,32000,9550,8060,17610,1140196
u,s,15950,13590,6400,19990,1140196
s,e,26410,11180,12820,24000,1140196
e,space,16830,9540,5650,15190,1140196
space,o,20800,11110,11260,22370,1140196
o,f,15960,10390,4850,15240,1140196
f,space,13740,10220,3350,13570,1140196
space,t,111850,7990,101630,109620,1140196
t,h,19260,11140,11270,22410,1140196
e,space,8000,2350,10460,12810,1140196
space,p,23190,9550,12850,22400,1140196
p,o,22370,7940,12820,20760,1140196
o,o,15990,10390,8050,18440,1140196
o,r,31270,12710,20880,33590,1140196
r,space,17580,10340,4870,15210,1140196
space,f,19190,11150,8850,20000,1140196
f,i,19950,8770,8800,17570,1140196
i,n,24060,11150,15290,26440,1140196
n,a,15990,14350,4840,19190,1140196
a,n,17600,8740,3250,11990,1140196
n,c,16800,11150,8060,19210,1140196
c,i,14390,9550,3240,12790,1140196
a,l,13620,1580,20020,21600,1140196
l,space,16000,12780,7220,20000,1140196
space,s,20030,13550,7250,20800,1140196
s,t,16810,8750,3260,12010,1140196
t,a,15210,15120,6460,21580,1140196
a,t,46390,9550,31270,40820,1140196
t,u,24010,10340,14460,24800,1140196
u,s,15980,13550,5640,19190,1140196
s,space,16010,11140,2460,13600,1140196
space,o,31190,9550,20050,29600,1140196
o,f,18420,9540,8870,18410,1140196
f,space,11190,9540,1650,11190,1140196
space,m,20000,11140,10460,21600,1140196
m,y,24790,9540,13650,23190,1140196
y,space,15160,10390,5620,16010,1140196
space,p,85660,7890,75270,83160,1140196
p,a,16780,12770,8890,21660,1140196
a,r,20800,7920,8030,15950,1140196
r,e,12810,11150,4890,16040,1140196
e,n,18400,8740,7250,15990,1140196
t,r,1660,2280,21720,24000,1140196
r,s,11090,11170,6400,17570,1140196
backspace,s,145930,14850,136400,151250,1140196
shift,shift,24030,5530,27280,32810,1140196
shift,space,15930,11990,5610,17600,1140196
space,h,22540,9440,10550,19990,1140196
a,d,12810,5560,17620,23180,1140196
d,space,17640,10360,2450,12810,1140196
space,t,26410,10340,16050,26390,1140196
t,h,21550,11190,11210,22400,1140196
e,space,4790,3930,7250,11180,1140196
backspace,o,90350,8000,80780,88780,1140196
o,space,13640,10360,5640,16000,1140196
space,l,22410,11140,12050,23190,1140196
l,e,21600,17550,10460,28010,1140196
backspace,s,30390,17560,20840,38400,1140196
s,t,23190,9560,5630,15190,1140196
t,a,15220,15120,5660,20780,1140196
a,r,16750,6360,1630,7990,1140196
r,t,15200,10370,8840,19210,1140196
t,space,16850,13550,6480,20030,1140196
space,w,106400,15940,92850,108790,1140196
w,o,19200,7950,3260,11210,1140196
o,r,16790,11160,8840,20000,1140196
r,k,14420,9490,3260,12750,1140196
k,i,19190,8740,9700,18440,1140196
n,g,10400,2350,26460,28810,1140196
g,space,15200,7140,2480,9620,1140196
space,s,868810,13520,861670,875190,1140196
s,i,15170,7160,1650,8810,1140196
i,n,19210,12750,12050,24800,1140196
n,c,24800,18310,12050,30360,1140196
c,e,20000,13540,1690,15230,1140196
e,space,17650,11900,4110,16010,1140196
shift,shift,20830,3920,43270,47190,1140196
shift,space,15930,13590,4830,18420,1140196
space,w,16050,15150,2460,17610,1140196
a,s,11210,10340,21650,31990,1140196
s,space,16790,2370,6450,8820,1140196
space,space,98400,10360,89640,100000,1140196
space,rightarrow,20800,11120,10440,21560,1140196
rightarrow,rightarrow,61610,7140,50490,57630,1140196
backspace,1,47220,15900,39260,55160,1140196
1,6,22360,12780,6460,19240,1140196
6,leftarrow,135240,10330,122460,132790,1140196
leftarrow,leftarrow,15160,14400,4830,19230,1140196
leftarrow,space,16800,10380,2400,12780,1140196
space,rightarrow,20030,15140,9650,24790,1140196
rightarrow,rightarrow,36760,12800,21620,34420,1140196
rightarrow,rightarrow,76800,7990,64000,71990,1140196
rightarrow,space,12840,7150,4850,12000,1140196
shift,shift,32780,6350,48050,54400,1140196
shift,space,14400,12710,4060,16770,1140196
space,s,156010,13540,143300,156840,1140196
s,t,18390,7940,4850,12790,1140196
a,r,16810,2310,20880,23190,1140196
r,t,17540,10380,10450,20830,1140196
e,d,17600,2340,26460,28800,1140196
d,space,22410,9530,5670,15200,1140196
space,t,22330,8760,12800,21560,1140196
e,a,8850,3140,13710,16850,1140196
a,c,22390,4750,19250,24000,1140196
c,h,13600,1540,8850,10390,1140196
h,i,22410,7930,13670,21600,1140196
n,g,10350,1570,22400,23970,1140196
g,space,12850,8760,1640,10400,1140196
space,i,14410,7950,5650,13600,1140196
i,n,21590,9550,13640,23190,1140196
n,space,16010,11150,6460,17610,1140196
a,space,8820,7090,15260,22350,1140196
space,p,30400,11930,20910,32840,1140196
p,r,19990,13550,8060,21610,1140196
r,i,54350,7990,40800,48790,1140196
i,m,27260,8730,19270,28000,1140196
m,a,12780,18360,4050,22410,1140196
a,r,29610,9540,11250,20790,1140196
r,y,11990,7950,2450,10400,1140196
y,space,17550,12000,9600,21600,1140196
space,s,16050,11930,4050,15980,1140196
s,c,27200,10350,15270,25620,1140196
c,h,13610,7940,3260,11200,1140196
h,o,29590,7170,21650,28820,1140196
o,o,13590,9530,6420,15950,1140196
o,l,21610,9530,12080,21610,1140196
l,space,82350,11200,72820,84020,1140196
space,i,20050,7150,8850,16000,1140196
i,n,30450,11900,23300,35200,1140196
n,space,16760,9550,4860,14410,1140196
shift,shift,24010,7940,37650,45590,1140196
shift,e,19190,15130,4050,19180,1140196
e,p,23190,8760,8060,16820,1140196
a,l,13640,3920,20890,24810,1140196
l,l,42370,7940,34480,42420,1140196
l,space,10400,9510,2460,11970,1140196
shift,shift,37570,10380,61650,72030,1140196
shift,t,24020,11960,11250,23210,1140196
t,space,122410,11110,110450,121560,1140196
space,w,113610,16740,102500,119240,1140196
a,s,16050,11960,30440,42400,1140196
s,space,31210,10340,9670,20010,1140196
a,space,17600,2340,28870,31210,1140196
space,w,75200,13530,63310,76840,1140196
w,h,23180,8720,9650,18370,1140196
h,o,30410,8740,21690,30430,1140196
o,space,18390,7960,9650,17610,1140196
backspace,l,30510,10240,20950,31190,1140196
l,e,15090,17510,4850,22360,1140196
e,space,19160,8770,1650,10420,1140196
space,n,48870,8720,40100,48820,1140196
n,e,14380,13540,5660,19200,1140196
e,w,24030,15080,10490,25570,1140196
w,space,19140,10370,4060,14430,1140196
space,e,16820,11950,6450,18400,1140196
e,x,31200,13540,19250,32790,1140196
x,p,23210,7940,9670,17610,1140196
p,e,11190,13530,3250,16780,1140196
e,r,24000,11940,10470,22410,1140196
r,i,19200,7950,7260,15210,1140196
i,e,12810,11940,4860,16800,1140196
e,n,15990,8760,4050,12810,1140196
c,e,13610,4740,20840,25580,1140196
e,space,15960,10400,3210,13610,1140196
space,f,15240,18350,4840,23190,1140196
f,o,22410,7930,4060,11990,1140196
o,r,13590,14350,5660,20010,1140196
r,space,16810,7940,2460,10400,1140196
space,m,17590,10310,9650,19960,1140196
m,e,13560,15980,3250,19230,1140196
e,space,17600,7190,1620,8810,1140196
space,t,13590,10390,6400,16790,1140196
t,o,12850,8740,2460,11200,1140196
o,space,14400,10360,5660,16020,1140196
space,t,96000,7950,85640,93590,1140196
e,a,7200,3140,12060,15200,1140196
a,c,21550,6390,18410,24800,1140196
c,h,12040,3950,5650,9600,1140196
h,space,14440,10310,4900,15210,1140196
a,t,17600,1540,25660,27200,1140196
t,space,14380,11160,7240,18400,1140196
space,t,18360,8770,7200,15970,1140196
h,e,1660,9490,12940,22430,1140196
e,space,17540,11150,5650,16800,1140196
space,s,12790,10340,1640,11980,1140196
s,c,47170,14380,36830,51210,1140196
c,h,17640,10350,3260,13610,1140196
h,o,71200,7900,60850,68750,1140196
o,o,14350,8810,6450,15260,1140196
o,l,20850,9560,12040,21600,1140196
l,l,102410,8740,92850,101590,1140196
l,space,17580,11160,8840,20000,1140196
shift,shift,25580,2340,274450,276790,1140196
shift,space,5590,2360,3250,5610,1140196
space,l,36010,16740,18460,35200,1140196
e,a,14460,1540,28860,30400,1140196
a,r,48800,10340,27260,37600,1140196
r,n,20800,8740,10460,19200,1140196
n,e,13540,8780,4800,13580,1140196
e,d,19200,11210,10420,21630,1140196
d,space,16860,8750,5650,14400,1140196
space,t,27190,8760,18440,27200,1140196
t,h,20810,8740,12050,20790,1140196
h,i,23140,7190,14400,21590,1140196
i,n,20810,10380,13620,24000,1140196
n,g,24040,9540,13660,23200,1140196
g,s,14400,13550,4860,18410,1140196
s,space,16000,10350,2450,12800,1140196
a,b,18410,1530,70460,71990,1140196
b,o,26390,9520,16060,25580,1140196
o,u,28810,8730,19290,28020,1140196
u,t,15990,10320,7260,17580,1140196
backspace,d,97600,11950,89660,101610,1140196
d,i,17620,7900,5670,13570,1140196
i,f,47140,8780,39240,48020,1140196
f,f,16830,10350,8050,18400,1140196
f,e,16800,10360,6450,16810,1140196
e,r,24010,7910,13650,21560,1140196
r,e,19210,10320,11300,21620,1140196
e,n,16730,10380,6410,16790,1140196
n,t,14480,10310,4100,14410,1140196
t,space,16780,8740,6470,15210,1140196
space,c,163140,14380,154400,168780,1140196
c,h,20050,8760,5670,14430,1140196
h,a,16810,15140,8050,23190,1140196
a,r,22400,7150,7260,14410,1140196
r,e,16800,10350,9650,20000,1140196
e,c,30350,12000,20000,32000,1140196
c,t,20960,7030,8960,15990,1140196
t,e,13480,11150,6450,17600,1140196
e,r,20810,10340,9660,20000,1140196
r,s,24790,12740,14450,27190,1140196
s,space,16760,9560,4020,13580,1140196
space,l,24050,10340,14490,24830,1140196
l,i,24020,7930,13680,21610,1140196
k,e,9590,2340,21650,23990,1140196
e,space,17620,8680,7280,15960,1140196
shift,shift,16880,8730,64870,73600,1140196
shift,a,18380,14310,2470,16780,1140196
a,t,18340,8780,4030,12810,1140196
t,t,16060,10350,7280,17630,1140196
t,e,11990,11140,1640,12780,1140196
e,r,19950,11210,8810,20020,1140196
r,space,17670,12740,6460,19200,1140196
space,o,44800,9540,32060,41600,1140196
o,f,16080,11060,6540,17600,1140196
f,space,13500,7910,2440,10350,1140196
space,f,31220,8730,23310,32040,1140196
a,c,13610,6350,17660,24010,1140196
c,t,12750,1570,6400,7970,1140196
t,space,14450,11180,6460,17640,1140196
space,i,25580,8770,14400,23170,1140196
i,t,12810,10360,4040,14400,1140196
t,space,18410,10340,8050,18390,1140196
space,w,20800,11140,10460,21600,1140196
w,a,27200,10330,16060,26390,1140196
a,s,19140,11200,8810,20010,1140196
s,space,15250,8750,4050,12800,1140196
space,m,17600,14350,8850,23200,1140196
m,o,21610,11140,7260,18400,1140196
r,e,11970,7190,15220,22410,1140196
e,l,14380,5570,7190,12760,1140196
l,o,23270,7930,15320,23250,1140196
backspace,i,36750,7990,29610,37600,1140196
i,k,19240,12750,11250,24000,1140196
k,e,15200,7950,2450,10400,1140196
e,space,12800,7150,4850,12000,1140196
a,space,23200,2320,135260,137580,1140196
space,space,367990,12740,356080,368820,1140196
space,p,128010,8690,115270,123960,1140196
p,l,19150,11190,10460,21650,1140196
l,a,14440,18320,3250,21570,1140196
a,c,26390,8750,8070,16820,1140196
c,e,13610,11940,4860,16800,1140196
e,space,14390,9560,2450,12010,1140196
space,o,19160,10370,9600,19970,1140196
f,space,11220,2330,15290,17620,1140196
space,l,16780,12720,7240,19960,1140196
e,a,12050,1540,13690,15230,1140196
a,r,26480,11020,3330,14350,1140196
r,n,24720,9560,13700,23260,1140196
n,i,24000,7140,14440,21580,1140196
i,n,19930,10420,12790,23210,1140196
n,g,12070,10350,1650,12000,1140196
g,space,15190,8740,4840,13580,1140196
space,f,11950,12010,3210,15220,1140196
f,o,16860,8740,4850,13590,1140196
o,r,11970,11170,3230,14400,1140196
r,space,13630,7950,2460,10410,1140196
space,m,16790,11130,8840,19970,1140196
m,e,19210,11140,8080,19220,1140196
e,space,15190,9510,4050,13560,1140196
space,t,28030,7130,18520,25650,1140196
t,h,16780,11140,9650,20790,1140196
a,n,13640,2300,16100,18400,1140196
n,space,14310,14380,6440,20820,1140196
space,a,35240,17560,20860,38420,1140196
a,space,22410,7940,4850,12790,1140196
space,p,71160,7160,63220,70380,1140196
p,l,21630,11150,14470,25620,1140196
l,a,15210,15940,4060,20000,1140196
a,c,36790,7150,20850,28000,1140196
c,e,15150,11210,8000,19210,1140196
e,space,19250,8750,8040,16790,1140196
space,w,14390,9570,5640,15210,1140196
w,h,17610,7950,8040,15990,1140196
h,e,10400,11160,2450,13610,1140196
e,r,32810,6310,21650,27960,1140196
r,e,20000,9540,13690,23230,1140196
e,space,14360,8780,4820,13600,1140196
shift,shift,47980,3900,58460,62360,1140196
shift,space,16740,14400,5630,20030,1140196
space,t,247260,6330,232860,239190,1140196
e,a,12010,1540,22480,24020,1140196
a,c,35170,13530,11250,24780,1140196
c,h,17580,7990,4050,12040,1140196
h,h,52030,9510,44040,53550,1140196
h,space,11960,9590,2450,12040,1140196
shift,shift,24860,5550,114450,120000,1140196
shift,space,57610,11110,49680,60790,1140196
space,l,28790,10350,17680,28030,1140196
e,a,14410,2350,24050,26400,1140196
a,r,37980,11520,14050,25570,1140196
r,n,62930,9430,51410,60840,1140196
n,e,11140,12730,1710,14440,1140196
e,d,27110,11950,14380,26330,1140196
d,space,15180,8800,3230,12030,1140196
space,l,70400,10410,61600,72010,1140196
e,a,12740,2370,20010,22380,1140196
a,d,17640,5550,15270,20820,1140196
d,e,25620,8730,12080,20810,1140196
e,r,16770,11150,8040,19190,1140196
r,s,29630,9480,18480,27960,1140196
s,h,11950,10370,2470,12840,1140196
h,i,26430,7940,16060,24000,1140196
i,p,24800,9540,16860,26400,1140196
space,a,764790,19940,756850,776790,1140196
a,d,23990,12750,4050,16800,1140196
d,m,19210,13520,6460,19980,1140196
m,i,23220,11930,9700,21630,1140196
i,n,23180,12700,11250,23950,1140196
n,i,17530,9600,4830,14430,1140196
i,s,18460,13560,8860,22420,1140196
s,t,19210,7140,5650,12790,1140196
t,r,19160,8790,12020,20810,1140196
r,a,16840,15140,8050,23190,1140196
a,t,23190,7940,8050,15990,1140196
t,i,43220,7140,35280,42420,1140196
i,o,18380,8730,11240,19970,1140196
o,n,27220,9520,18490,28010,1140196
space,e,18350,11990,5620,17610,1140196
e,t,16840,7110,4850,11960,1140196
t,c,20820,11930,13710,25640,1140196
c,c,23180,8750,11250,20000,1140196
c,space,24810,7140,16060,23200,1140196
shift,shift,27180,10350,94450,104800,1140196
shift,t,23160,14350,8820,23170,1140196
t,space,21600,10390,7250,17640,1140196
space,w,19240,18350,8850,27200,1140196
a,s,12010,10340,22460,32800,1140196
s,space,19180,3150,8840,11990,1140196
space,m,19960,13600,10450,24050,1140196
m,o,28850,9550,15250,24800,1140196
r,e,19190,7140,43250,50390,1140196
e,space,30400,10400,9690,20090,1140196
space,l,23210,12740,12810,25550,1140196
l,i,24790,9550,12050,21600,1140196
i,k,21600,12710,12050,24760,1140196
e,space,9610,1560,11250,12810,1140196
a,space,16020,3160,19260,22420,1140196
space,c,53620,11900,44890,56790,1140196
c,h,13530,11160,1630,12790,1140196
h,a,17600,15190,6440,21630,1140196
a,r,21650,7940,6460,14400,1140196
r,a,16810,14320,8870,23190,1140196
a,c,18380,14310,4060,18370,1140196
c,t,31200,8750,16890,25640,1140196
t,e,13560,11990,4810,16800,1140196
e,r,20840,11150,8850,20000,1140196
r,space,18400,10350,7250,17600,1140196
backspace,b,14370,7940,4050,11990,1140196
b,u,16810,8730,8870,17600,1140196
u,i,22340,5550,13610,19160,1140196
